Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices From,Price,Pricing Template ID
fantaf1.cosmetic.emblem.lightning,published,managed_product,false,en_US; Lightning Crest; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.mountain,published,managed_product,false,en_US; Summit Crest; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.wave,published,managed_product,false,en_US; Wave Crest; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.compass,published,managed_product,false,en_US; Compass Star; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.flame,published,managed_product,false,en_US; Flame Crest; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.wolf,published,managed_product,false,en_US; Wolf Head; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.checkered,published,managed_product,false,en_US; Checkered Shield; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.emblem.octane,published,managed_product,false,en_US; Octane Drop; Team emblem for FantaF1 2026,,990000,
fantaf1.cosmetic.helmet.carbon,published,managed_product,false,en_US; Carbon Raw; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.storm,published,managed_product,false,en_US; Storm Grey; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.gold,published,managed_product,false,en_US; Gold Leaf; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.chrome,published,managed_product,false,en_US; Chrome Mirror; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.midnight,published,managed_product,false,en_US; Midnight Matte; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.rainbow,published,managed_product,false,en_US; Rainbow Fade; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.fire,published,managed_product,false,en_US; Fire Gradient; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.ocean,published,managed_product,false,en_US; Ocean Deep; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.forest,published,managed_product,false,en_US; Forest Hex; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.helmet.volcano,published,managed_product,false,en_US; Volcano Red; Driver helmet skin for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.monochrome,published,managed_product,false,en_US; Classic Monochrome; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.retro70,published,managed_product,false,en_US; Retro 70s Stripes; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.mosaic,published,managed_product,false,en_US; Geometric Mosaic; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.sunrise,published,managed_product,false,en_US; Gradient Sunrise; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.digicamo,published,managed_product,false,en_US; Digital Camo; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.suit.tuxedo,published,managed_product,false,en_US; Tuxedo Formal; Race suit pattern for FantaF1 2026,,1990000,
fantaf1.cosmetic.color.electric,published,managed_product,false,en_US; Electric Blue; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.color.emerald,published,managed_product,false,en_US; Emerald Green; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.color.royal,published,managed_product,false,en_US; Royal Purple; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.color.molten,published,managed_product,false,en_US; Molten Orange; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.color.rosegold,published,managed_product,false,en_US; Rose Gold; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.color.pure,published,managed_product,false,en_US; Pure White; Team accent color for FantaF1 2026,,990000,
fantaf1.cosmetic.livery.classic,published,managed_product,false,en_US; Classic Stripes; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.livery.stealth,published,managed_product,false,en_US; Stealth Matte; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.livery.racing,published,managed_product,false,en_US; Racing Red; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.livery.rainbow,published,managed_product,false,en_US; Rainbow Flow; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.livery.carbon,published,managed_product,false,en_US; Carbon Weave; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.livery.neon,published,managed_product,false,en_US; Neon Circuit; Car livery for FantaF1 2026,,2990000,
fantaf1.cosmetic.bundle.starter,published,managed_product,false,en_US; Starter Aesthetic Bundle; 10 cosmetic items for FantaF1 2026,,7990000,
fantaf1.cosmetic.pass.season2026,published,managed_product,false,en_US; Season Aesthetic Pass 2026; Unlocks every cosmetic for the 2026 season,,19990000,
